ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
137,"Simple, robust, scalable semi-supervised learning via expectation regularization",Proceedings of the 24th international conference on Machine learning,"Mann, Gideon S and McCallum, Andrew",593--600,2007,ACM,inproceedings,,,,
138,Learning to classify text from labeled and unlabeled documents,,"Nigam, Kamal and McCallum, Andrew and Thrun, Sebastian and Mitchell, Tom",,1998,,article,,AAAI/IAAI,,792
139,Efficiently inducing features of conditional random fields,Proceedings of the Nineteenth conference on Uncertainty in Artificial Intelligence,"McCallum, Andrew",403--410,2002,Morgan Kaufmann Publishers Inc.,inproceedings,,,,
140,Overcoming incomplete perception with utile distinction memory,,"McCallum, R Andrew",190--196,1993,,article,,Proceedings of the Tenth International Conference on Machine Learning,,
141,Mixtures of hierarchical topics with pachinko allocation,Proceedings of the 24th international conference on Machine learning,"Mimno, David and Li, Wei and McCallum, Andrew",633--640,2007,ACM,inproceedings,,,,
142,Multi-way distributional clustering via pairwise interactions,Proceedings of the 22nd international conference on Machine learning,"Bekkerman, Ron and El-Yaniv, Ran and McCallum, Andrew",41--48,2005,ACM,inproceedings,,,,
143,Polylingual topic models,Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing: Volume 2-Volume 2,"Mimno, David and Wallach, Hanna M and Naradowsky, Jason and Smith, David A and McCallum, Andrew",880--889,2009,Association for Computational Linguistics,inproceedings,,,,
144,Efficient clustering of high-dimensional data sets with application to reference matching,Proceedings of the sixth ACM SIGKDD international conference on Knowledge discovery and data mining,"McCallum, Andrew and Nigam, Kamal and Ungar, Lyle H",169--178,2000,ACM,inproceedings,,,,
145,Structured relation discovery using generative models,Proceedings of the Conference on Empirical Methods in Natural Language Processing,"Yao, Limin and Haghighi, Aria and Riedel, Sebastian and McCallum, Andrew",1456--1466,2011,Association for Computational Linguistics,inproceedings,,,,
146,Toward conditional models of identity uncertainty with application to proper noun coreference,,"McCallum, Andrew and Wellner, Ben",,2003,,article,,,,
147,Interactive information extraction with constrained conditional random fields,,"Kristjansson, Trausti and Culotta, Aron and Viola, Paul and McCallum, Andrew",412--418,2004,,article,,AAAI,,4
148,Employing EM and pool-based active learning for text classification,,"McCallumzy, Andrew Kachites and Nigamy, Kamal",359--367,1998,,article,,Proc. International Conference on Machine Learning (ICML),,
149,Large-scale cross-document coreference using distributed inference and hierarchical models,Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies-Volume 1,"Singh, Sameer and Subramanya, Amarnag and Pereira, Fernando and McCallum, Andrew",793--803,2011,Association for Computational Linguistics,inproceedings,,,,
150,Extracting social networks and contact information from email and the web,,"Culotta, Aron and Bekkerman, Ron and McCallum, Andrew",,2004,,article,,,,
151,Semi-supervised text classification using EM,,"Nigam, Kamal and McCallum, Andrew and Mitchell, Tom",33--56,2006,,article,"The MIT Press, Cambridge, MA",Semi-Supervised Learning,,
152,Object consolidation by graph partitioning with a conditionally-trained distance metric,,"McCallum, Andrew and Wellner, Ben",,2003,,article,Citeseer,"KDD Workshop on Data Cleaning, Record Linkage and Object Consolidation",,
153,Joint deduplication of multiple record types in relational data,Proceedings of the 14th ACM international conference on Information and knowledge management,"Culotta, Aron and McCallum, Andrew",257--258,2005,ACM,inproceedings,,,,
154,The author-recipient-topic model for topic and role discovery in social networks: Experiments with enron and academic email,,"McCallum, Andrew and Corrada-Emmanuel, Andr{\'e}s and Wang, Xuerui",,2005,,article,,,,
155,First-order probabilistic models for coreference resolution,,"Culotta, Aron and Wick, Michael and Hall, Robert and McCallum, Andrew",,2006,,article,,,,
156,Learning to extract symbolic knowledge from the World Wide Web,,"Craven, Mark and McCallum, Andrew and PiPasquo, Dan and Mitchell, Tom and Freitag, Dayne",,1998,,techreport,,,,
157,Optimizing semantic coherence in topic models,Proceedings of the Conference on Empirical Methods in Natural Language Processing,"Mimno, David and Wallach, Hanna M and Talley, Edmund and Leenders, Miriam and McCallum, Andrew",262--272,2011,Association for Computational Linguistics,inproceedings,,,,
158,Reducing labeling effort for structured prediction tasks,AAAI,"Culotta, Aron and McCallum, Andrew",746--751,2005,,inproceedings,,,,
159,A conditional random field for discriminatively-trained finite-state string edit distance,,"McCallum, Andrew and Bellare, Kedar and Pereira, Fernando",,2012,,article,,arXiv preprint arXiv:1207.1406,,
160,Instance-based state identification for reinforcement learning,,"McCallum, R Andrew and Tesauro, G and Touretzky, D and Leen, T",377--384,1995,,article,MORGAN KAUFMANN PUBLISHERS,Advances in Neural Information Processing Systems,,
161,Classification with hybrid generative/discriminative models,Advances in neural information processing systems,"Raina, Rajat and Shen, Yirong and Mccallum, Andrew and Ng, Andrew Y",,2003,,inproceedings,,,,
162,Efficient methods for topic model inference on streaming document collections,Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining,"Yao, Limin and Mimno, David and McCallum, Andrew",937--946,2009,ACM,inproceedings,,,,
163,Information extraction with HMMs and shrinkage,,"Freitag, Dayne and McCallum, Andrew",31--36,1999,,article,"Orlando, Florida",Proceedings of the AAAI-99 workshop on machine learning for information extraction,,
164,Relation extraction with matrix factorization and universal schemas,,"Riedel, Sebastian and Yao, Limin and McCallum, Andrew and Marlin, Benjamin M",,2013,,article,,,,
165,Semi-supervised clustering with user feedback,,"Cohn, David and Caruana, Rich and McCallum, Andrew",17--32,2003,,article,,"Constrained Clustering: Advances in Algorithms, Theory, and Applications",1,4
166,Multi-label text classification with a mixture model trained by EM,,"McCallum, Andrew",1--7,1999,,article,,AAAI’99 workshop on text learning,,
167,Maximum Entropy Markov Models for Information Extraction and Segmentation.,,"McCallum, Andrew and Freitag, Dayne and Pereira, Fernando CN",591--598,2000,,article,,ICML,,17
168,Learning to construct knowledge bases from the World Wide Web,,"Craven, Mark and DiPasquo, Dan and Freitag, Dayne and McCallum, Andrew and Mitchell, Tom and Nigam, Kamal and Slattery, Se{\'a}n",69--113,2000,,article,Elsevier,Artificial intelligence,1,118
169,Multi-conditional learning: Generative/discriminative training for clustering and classification,,"McCallum, Andrew and Pal, Chris and Druck, Greg and Wang, Xuerui",433,2006,,article,"Menlo Park, CA; Cambridge, MA; London; AAAI Press; MIT Press; 1999",PROCEEDINGS OF THE NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,1,21
170,Information extraction from research papers using conditional random fields,,"Peng, Fuchun and McCallum, Andrew",963--979,2006,,article,Pergamon,Information processing \& management,4,42
171,Rapid development of Hindi named entity recognition using conditional random fields and feature induction,,"Li, Wei and McCallum, Andrew",290--294,2003,,article,ACM,ACM Transactions on Asian Language Information Processing (TALIP),3,2
172,Nonparametric bayes pachinko allocation,,"Li, Wei and Blei, David and McCallum, Andrew",,2012,,article,,arXiv preprint arXiv:1206.5270,,
173,"Early results for named entity recognition with conditional random fields, feature induction and web-enhanced lexicons",Proceedings of the seventh conference on Natural language learning at HLT-NAACL 2003-Volume 4,"McCallum, Andrew and Li, Wei",188--191,2003,Association for Computational Linguistics,inproceedings,,,,
174,Expertise modeling for matching papers with reviewers,Proceedings of the 13th ACM SIGKDD international conference on Knowledge discovery and data mining,"Mimno, David and McCallum, Andrew",500--509,2007,ACM,inproceedings,,,,
175,Active learning by labeling features,Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing: Volume 1-Volume 1,"Druck, Gregory and Settles, Burr and McCallum, Andrew",81--90,2009,Association for Computational Linguistics,inproceedings,,,,
176,"An integrated, conditional model of information extraction and coreference with application to citation matching",Proceedings of the 20th conference on Uncertainty in artificial intelligence,"Wellner, Ben and McCallum, Andrew and Peng, Fuchun and Hay, Michael",593--601,2004,AUAI Press,inproceedings,,,,
177,Learning to create customized authority lists,ICML,"Chang, Huan and Cohn, David and McCallum, Andrew K and others",127--134,2000,,inproceedings,,,,
178,Confidence estimation for information extraction,Proceedings of HLT-NAACL 2004: Short Papers,"Culotta, Aron and McCallum, Andrew",109--112,2004,Association for Computational Linguistics,inproceedings,,,,
179,Generalized expectation criteria for semi-supervised learning with weakly labeled data,,"Mann, Gideon S and McCallum, Andrew",955--984,2010,,article,JMLR. org,The Journal of Machine Learning Research,,11
180,Collective cross-document relation extraction without labelled data,Proceedings of the 2010 Conference on Empirical Methods in Natural Language Processing,"Yao, Limin and Riedel, Sebastian and McCallum, Andrew",1013--1023,2010,Association for Computational Linguistics,inproceedings,,,,
181,Topic and role discovery in social networks with experiments on enron and academic email,,"McCallum, Andrew and Wang, Xuerui and Corrada-Emmanuel, Andr{\'e}s",249--272,2007,,article,,Journal of Artificial Intelligence Research,,
182,Disambiguating web appearances of people in a social network,Proceedings of the 14th international conference on World Wide Web,"Bekkerman, Ron and McCallum, Andrew",463--470,2005,ACM,inproceedings,,,,
183,Collective segmentation and labeling of distant entities in information extraction,,"Sutton, Charles and McCallum, Andrew",,2004,,techreport,,,,
184,"Text classification by bootstrapping with keywords, EM and shrinkage",,"McCallumzy, Andrew and Nigamy, Kamal",,1999,,article,,,,
185,Reinforcement learning with selective perception and hidden state,,"McCallum, Andrew Kachites",,1996,,phdthesis,,,,
186,Automating the construction of internet portals with machine learning,,"McCallum, Andrew Kachites and Nigam, Kamal and Rennie, Jason and Seymore, Kristie",127--163,2000,,article,Kluwer Academic Publishers,Information Retrieval,2,3
187,Learning hidden Markov model structure for information extraction,,"Seymore, Kristie and McCallum, Andrew and Rosenfeld, Roni",37--42,1999,,article,,AAAI-99 Workshop on Machine Learning for Information Extraction,,
188,Text classification from labeled and unlabeled documents using EM,,"Nigam, Kamal and McCallum, Andrew Kachites and Thrun, Sebastian and Mitchell, Tom",103--134,2000,,article,Kluwer Academic Publishers,Machine learning,03-Feb,39
189,"Bow: A toolkit for statistical language modeling, text retrieval, classification and clustering",,"McCallum, Andrew Kachites",,1996,,article,,"CMU: Pittsburgh, PA",,
190,Mining a digital library for influential authors,Proceedings of the 7th ACM/IEEE-CS joint conference on Digital libraries,"Mimno, David and McCallum, Andrew",105--106,2007,ACM,inproceedings,,,,
191,Combining joint models for biomedical event extraction,,"McClosky, David and Riedel, Sebastian and Surdeanu, Mihai and McCallum, Andrew and Manning, Christopher D",S9,2012,,article,BioMed Central Ltd,BMC bioinformatics,Suppl 11,13
192,Practical Markov logic containing first-order quantifiers with application to identity uncertainty,Proceedings of the Workshop on Computationally Hard Problems and Joint Inference in Speech and Language Processing,"Culotta, Aron and McCallum, Andrew",41--48,2006,Association for Computational Linguistics,inproceedings,,,,
193,"Learning with scope, with application to information extraction and classification",Proceedings of the Eighteenth conference on Uncertainty in artificial intelligence,"Blei, David M and Bagnell, J Andrew and McCallum, Andrew K",53--60,2002,Morgan Kaufmann Publishers Inc.,inproceedings,,,,
194,Bayesian modeling of dependency trees using hierarchical Pitman-Yor priors,,"Wallach, Hanna M and Sutton, Charles and McCallum, Andrew",,2008,,article,,,,
195,Resource-bounded information gathering for correlation clustering,Learning Theory,"Kanani, Pallika and McCallum, Andrew",625--627,2007,,incollection,Springer Berlin Heidelberg,,,
196,Leveraging existing resources using generalized expectation criteria,,"Druck, Gregory and Mann, Gideon and McCallum, Andrew",,2007,,article,,,,
197,A hierarchical probabilistic model for novelty detection in text,,"Baker, L Douglas and Hofmann, Thomas and McCallum, Andrew and Yang, Yiming",,1999,,article,,Proceedings of International Conference on Machine Learning,,
198,Dynamic sharing and backward compatibility on 64-bit machines,,"Garrett, William E and Bianchini, LI and Kontothanassis, LI and McCallum, R Andrew and Thomas, Jeffery and Wisniewski, Robert and Scott, Michael L",,1992,,book,"University of Rochester, Department of Computer Science",,,
199,"Joint inference of entities, relations, and coreference",Proceedings of the 2013 workshop on Automated knowledge base construction,"Singh, Sameer and Riedel, Sebastian and Martin, Brian and Zheng, Jiaping and McCallum, Andrew",1--6,2013,ACM,inproceedings,,,,
200,Using transitional proximity for faster reinforcement learning,,"McCallum, R Andrew",316--321,2014,,article,,Proceedings of the ninth international workshop on Machine learning,,
201,Lightly-supervised attribute extraction,,"Bellare, Kedar and Talukdar, Partha Pratim and Kumaran, Giridhar and Pereira, Fernando and Liberman, Mark and McCallum, Andrew and Dredze, Mark",,2007,,article,,,,
